Concept,Attribute,Description,"Value type expected(integer, boolean, float, list of specific values, etc.)",Max Cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"Unit of measure(applicable only for ""measure"" data types)","Sensitive data (if applicable, e.g. personal data that need to be anonymized in BIF)",Timezone (applicable only for datetime data types),Related standard (if applicable)
 Liquid Precipitation Depth,precipitation / liquid_precipitation_depth_data,"The amount of liquid precipitation (mm) observed at the indicated time for the period indicated
in the liquid precipitation quantity field.",integer,-,-,mm,-,-,1.5
 Liquid Precipitation Quantity,precipitation / liquid_precipitation_quantity_data,The period of accumulation (hr) for the liquid precipitation depth field,integer,-,-,hours,-,-,-
Latitude,latitude_data,Latitude where the measure was taken in degree minutes represented in decimal (i.e. 30 minutes is .5),integer,-,-,-,-,-,-
Longitude,longitude_data,Longitude where the measure was taken in degree minutes represented in decimal (i.e. 30 minutes is .5),integer,-,-,-,-,-,-
Altitude,altitude_data,Elevation where the measure was taken.,integer,-,-,-,-,-,-
Ground Conductivity,ground/ground_conductivity_data,Conductivity of the soil.,integer,-,-,-,-,-,-
Ground Density,ground/ground_density_data,Density of the soil.,integer,-,-,-,-,-,-
Ground Specific Heat,ground/ground_specific_heat_data,Specific heat of the soil.,integer,-,-,-,-,-,-
Ground Temperature,ground/ground_temperature_data,Average ground temperature of  period.,integer,-,-,-,-,-,-
Ground Temperature Depth,ground/ground_temperature_depth_data,Depth where the temperature of the ground was taken.,integer,-,-,-,-,-,-
